"","WorkerID","Trial","TimeStamp","Condition","Argument1","Correct","ConditionID","Testarg1","Testarg2","Question","Response","ResponseImage","RT"
"188",20,10,1481307525644,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o6.png"," static/images/o4.png"," c"," b"," static/images/o5.png",3577
"196",17,8,1481307477198,"0"," static/images/o2.png"," static/images/o2.png"," Same"," static/images/o3.png"," static/images/o3.png"," b"," b"," static/images/o3.png",9382
"197",17,9,1481307481185,"0"," static/images/o2.png"," static/images/o2.png"," Same"," static/images/o2.png"," static/images/o2.png"," a"," a"," static/images/o2.png",2979
"205",30,8,1481307482939,"1"," static/images/o5.png"," static/images/o3.png"," Different"," static/images/o3.png"," static/images/o3.png"," b"," c"," static/images/o1.png",6166
"206",30,9,1481307492162,"1"," static/images/o5.png"," static/images/o3.png"," Different"," static/images/o1.png"," static/images/o5.png"," c"," d"," static/images/o4.png",8391
"207",30,10,1481307496732,"1"," static/images/o5.png"," static/images/o3.png"," Different"," static/images/o5.png"," static/images/o5.png"," a"," b"," static/images/o3.png",3365
"215",23,8,1481307572132,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o6.png"," static/images/o6.png"," a"," a"," static/images/o6.png",6016
"216",23,9,1481307584498,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o3.png"," static/images/o3.png"," b"," b"," static/images/o3.png",3527
"224",21,8,1481307883513,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," b"," static/images/o5.png",10610
"225",21,9,1481307893053,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o3.png"," static/images/o6.png"," c"," d"," static/images/o1.png",7969
"226",21,10,1481307900445,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o3.png",6390
"234",26,8,1481307950302,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o2.png"," static/images/o2.png"," b"," b"," static/images/o2.png",5519
"235",26,9,1481307956584,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o3.png"," static/images/o3.png"," a"," a"," static/images/o3.png",5286
"243",15,8,1481308979900,"1"," static/images/o2.png"," static/images/o6.png"," Different"," static/images/o6.png"," static/images/o6.png"," b"," c"," static/images/o4.png",8094
"244",15,9,1481308986649,"1"," static/images/o2.png"," static/images/o6.png"," Different"," static/images/o2.png"," static/images/o2.png"," a"," b"," static/images/o6.png",3243
"245",15,10,1481308998971,"1"," static/images/o2.png"," static/images/o6.png"," Different"," static/images/o4.png"," static/images/o2.png"," c"," d"," static/images/o5.png",11319
"253",42,8,1481309123537,"1"," static/images/o6.png"," static/images/o2.png"," Different"," static/images/o3.png"," static/images/o6.png"," c"," d"," static/images/o5.png",13366
"254",42,9,1481309130143,"1"," static/images/o6.png"," static/images/o2.png"," Different"," static/images/o2.png"," static/images/o2.png"," b"," a"," static/images/o6.png",5629
"255",42,10,1481309136467,"1"," static/images/o6.png"," static/images/o2.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," b"," static/images/o2.png",4836
"263",29,8,1481309301033,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o4.png"," static/images/o4.png"," a"," a"," static/images/o4.png",6806
"264",29,9,1481309311526,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o3.png"," static/images/o3.png"," b"," b"," static/images/o3.png",8707
"272",46,8,1481309559990,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," b"," static/images/o5.png",10168
"273",46,9,1481309599688,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o2.png"," static/images/o6.png"," c"," b"," static/images/o5.png",37898
"274",46,10,1481309608688,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o2.png",7816
"282",44,8,1481310022867,"1"," static/images/o3.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," d"," static/images/o6.png",19432
"283",44,9,1481310028810,"1"," static/images/o3.png"," static/images/o5.png"," Different"," static/images/o3.png"," static/images/o3.png"," a"," b"," static/images/o5.png",4733
"284",44,10,1481310041046,"1"," static/images/o3.png"," static/images/o5.png"," Different"," static/images/o1.png"," static/images/o3.png"," c"," a"," static/images/o3.png",10685
"291",35,8,1481310458781,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o4.png"," static/images/o4.png"," a"," a"," static/images/o4.png",6514
"292",35,9,1481310465191,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o3.png"," static/images/o3.png"," b"," b"," static/images/o3.png",4135
"300",48,8,1481311069293,"0"," static/images/o5.png"," static/images/o5.png"," Same"," static/images/o2.png"," static/images/o2.png"," b"," b"," static/images/o2.png",9549
"301",48,9,1481311077589,"0"," static/images/o5.png"," static/images/o5.png"," Same"," static/images/o5.png"," static/images/o5.png"," a"," a"," static/images/o5.png",4031
"309",18,8,1481311005946,"1"," static/images/o4.png"," static/images/o6.png"," Different"," static/images/o4.png"," static/images/o4.png"," a"," b"," static/images/o6.png",7400
"310",18,9,1481311012725,"1"," static/images/o4.png"," static/images/o6.png"," Different"," static/images/o6.png"," static/images/o6.png"," b"," a"," static/images/o4.png",4782
"311",18,10,1481311018915,"1"," static/images/o4.png"," static/images/o6.png"," Different"," static/images/o2.png"," static/images/o4.png"," c"," d"," static/images/o5.png",4459
"319",41,8,1481311381278,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o1.png"," static/images/o1.png"," b"," b"," static/images/o1.png",7162
"320",41,9,1481311386288,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o4.png"," static/images/o4.png"," a"," a"," static/images/o4.png",3623
"328",12,8,1481311826473,"1"," static/images/o2.png"," static/images/o5.png"," Different"," static/images/o2.png"," static/images/o2.png"," a"," b"," static/images/o5.png",11717
"329",12,9,1481311836552,"1"," static/images/o2.png"," static/images/o5.png"," Different"," static/images/o4.png"," static/images/o2.png"," c"," d"," static/images/o6.png",9236
"330",12,10,1481311846313,"1"," static/images/o2.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o4.png",8072
"338",40,8,1481312195316,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o2.png"," static/images/o2.png"," b"," c"," static/images/o5.png",5277
"339",40,9,1481312201211,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o1.png"," static/images/o1.png"," a"," b"," static/images/o2.png",4128
"340",40,10,1481312209884,"1"," static/images/o1.png"," static/images/o2.png"," Different"," static/images/o5.png"," static/images/o1.png"," c"," a"," static/images/o1.png",7571
"348",4,8,1481313539431,"0"," static/images/o2.png"," static/images/o2.png"," Same"," static/images/o3.png"," static/images/o3.png"," b"," b"," static/images/o3.png",2528
"349",4,9,1481313545549,"0"," static/images/o2.png"," static/images/o2.png"," Same"," static/images/o2.png"," static/images/o2.png"," a"," a"," static/images/o2.png",3207
"357",51,8,1481314605464,"1"," static/images/o6.png"," static/images/o4.png"," Different"," static/images/o4.png"," static/images/o4.png"," b"," c"," static/images/o2.png",9050
"358",51,9,1481314619148,"1"," static/images/o6.png"," static/images/o4.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," b"," static/images/o4.png",12137
"359",51,10,1481314624985,"1"," static/images/o6.png"," static/images/o4.png"," Different"," static/images/o2.png"," static/images/o6.png"," c"," d"," static/images/o3.png",4766
"367",28,8,1481314897972,"1"," static/images/o2.png"," static/images/o5.png"," Different"," static/images/o1.png"," static/images/o2.png"," c"," d"," static/images/o6.png",6398
"368",28,9,1481314906865,"1"," static/images/o2.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o1.png",6168
"369",28,10,1481314911686,"1"," static/images/o2.png"," static/images/o5.png"," Different"," static/images/o2.png"," static/images/o2.png"," a"," b"," static/images/o5.png",3817
"377",53,8,1481315187077,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o1.png",40698
"378",53,9,1481315204714,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o3.png"," static/images/o3.png"," a"," c"," static/images/o1.png",15085
"386",55,8,1481315151701,"1"," static/images/o1.png"," static/images/o3.png"," Different"," static/images/o2.png"," static/images/o1.png"," c"," a"," static/images/o1.png",10651
"387",55,9,1481315164893,"1"," static/images/o1.png"," static/images/o3.png"," Different"," static/images/o3.png"," static/images/o3.png"," b"," c"," static/images/o2.png",10991
"388",55,10,1481315173732,"1"," static/images/o1.png"," static/images/o3.png"," Different"," static/images/o1.png"," static/images/o1.png"," a"," b"," static/images/o3.png",4065
"396",47,8,1481315579253,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o3.png"," static/images/o3.png"," a"," a"," static/images/o3.png",5806
"397",47,9,1481315586394,"0"," static/images/o3.png"," static/images/o3.png"," Same"," static/images/o6.png"," static/images/o6.png"," b"," b"," static/images/o6.png",6044
"405",7,8,1481315936250,"1"," static/images/o5.png"," static/images/o3.png"," Different"," static/images/o6.png"," static/images/o5.png"," c"," d"," static/images/o1.png",18097
"406",7,9,1481315952782,"1"," static/images/o5.png"," static/images/o3.png"," Different"," static/images/o5.png"," static/images/o5.png"," a"," b"," static/images/o3.png",14915
"407",7,10,1481315960452,"1"," static/images/o5.png"," static/images/o3.png"," Different"," static/images/o3.png"," static/images/o3.png"," b"," c"," static/images/o6.png",6666
"415",9,8,1481316083168,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o2.png"," static/images/o2.png"," b"," b"," static/images/o2.png",7920
"416",9,9,1481316091304,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o6.png"," static/images/o6.png"," a"," a"," static/images/o6.png",5507
"424",3,8,1481316595129,"1"," static/images/o5.png"," static/images/o2.png"," Different"," static/images/o3.png"," static/images/o5.png"," c"," d"," static/images/o4.png",5273
"425",3,9,1481316602347,"1"," static/images/o5.png"," static/images/o2.png"," Different"," static/images/o2.png"," static/images/o2.png"," b"," a"," static/images/o5.png",5175
"426",3,10,1481316607013,"1"," static/images/o5.png"," static/images/o2.png"," Different"," static/images/o5.png"," static/images/o5.png"," a"," b"," static/images/o2.png",2173
"435",39,8,1481317390645,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o4.png"," static/images/o4.png"," a"," c"," static/images/o3.png",12162
"436",39,9,1481317403998,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o5.png"," static/images/o5.png"," b"," b"," static/images/o5.png",10660
"444",13,8,1481317374332,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o4.png"," static/images/o4.png"," b"," b"," static/images/o4.png",4872
"445",13,9,1481317380162,"0"," static/images/o6.png"," static/images/o6.png"," Same"," static/images/o6.png"," static/images/o6.png"," a"," a"," static/images/o6.png",4494
"453",14,8,1481317290667,"1"," static/images/o2.png"," static/images/o4.png"," Different"," static/images/o2.png"," static/images/o2.png"," a"," b"," static/images/o4.png",3609
"454",14,9,1481317297219,"1"," static/images/o2.png"," static/images/o4.png"," Different"," static/images/o1.png"," static/images/o2.png"," c"," d"," static/images/o3.png",4636
"455",14,10,1481317303821,"1"," static/images/o2.png"," static/images/o4.png"," Different"," static/images/o4.png"," static/images/o4.png"," b"," c"," static/images/o1.png",5528
"463",38,8,1481317491933,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o4.png"," static/images/o4.png"," b"," a"," static/images/o1.png",8826
"464",38,9,1481317505073,"0"," static/images/o1.png"," static/images/o1.png"," Same"," static/images/o1.png"," static/images/o1.png"," a"," b"," static/images/o4.png",10293
"472",34,8,1481318131467,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o4.png"," static/images/o6.png"," c"," d"," static/images/o2.png",7199
"473",34,9,1481318138344,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o6.png"," static/images/o6.png"," a"," a"," static/images/o6.png",3886
"474",34,10,1481318146291,"1"," static/images/o6.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," c"," static/images/o4.png",3384
"481",36,8,1481319088212,"0"," static/images/o2.png"," static/images/o2.png"," Same"," static/images/o4.png"," static/images/o4.png"," b"," b"," static/images/o4.png",6332
"482",36,9,1481319096440,"0"," static/images/o2.png"," static/images/o2.png"," Same"," static/images/o2.png"," static/images/o2.png"," a"," a"," static/images/o2.png",4097
"490",6,8,1481319370407,"1"," static/images/o2.png"," static/images/o1.png"," Different"," static/images/o2.png"," static/images/o2.png"," a"," b"," static/images/o1.png",9227
"491",6,9,1481319381263,"1"," static/images/o2.png"," static/images/o1.png"," Different"," static/images/o6.png"," static/images/o2.png"," c"," d"," static/images/o5.png",9110
"492",6,10,1481319386950,"1"," static/images/o2.png"," static/images/o1.png"," Different"," static/images/o1.png"," static/images/o1.png"," b"," a"," static/images/o2.png",4199
"500",22,8,1481321547097,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o4.png"," static/images/o4.png"," a"," b"," static/images/o5.png",7730
"501",22,9,1481321556126,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o1.png"," static/images/o4.png"," c"," d"," static/images/o3.png",8049
"502",22,10,1481321564519,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," a"," static/images/o4.png",7535
"510",33,8,1481323058823,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o4.png"," static/images/o4.png"," a"," a"," static/images/o4.png",10140
"511",33,9,1481323067055,"0"," static/images/o4.png"," static/images/o4.png"," Same"," static/images/o1.png"," static/images/o1.png"," b"," b"," static/images/o1.png",5216
"519",8,8,1481325095810,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o4.png"," static/images/o4.png"," a"," b"," static/images/o5.png",4277
"520",8,9,1481325106375,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o6.png"," static/images/o4.png"," c"," d"," static/images/o1.png",7733
"521",8,10,1481325111842,"1"," static/images/o4.png"," static/images/o5.png"," Different"," static/images/o5.png"," static/images/o5.png"," b"," a"," static/images/o4.png",3227
