condition nsolution basis generalization length runtime answer
0 16 TSKHIE cc 20 12 'c'
0 17 TSKHIE aa 20 12 'a'
0 17 TSKHIE ab 20 12 'b'
0 17 TSKHIE ac 20 12 'b'
0 17 TSKHIE ba 20 12 'c'
0 17 TSKHIE bb 20 12 'c'
0 17 TSKHIE bc 20 12 'c'
0 17 TSKHIE ca 20 12 'c'
0 17 TSKHIE cb 20 12 'c'
0 17 TSKHIE cc 20 12 'c'
0 18 TSKHIE aa 20 12 'a'
0 18 TSKHIE ab 20 12 'b'
0 18 TSKHIE ac 20 12 'b'
0 18 TSKHIE ba 20 12 'c'
0 18 TSKHIE bb 20 12 'c'
0 18 TSKHIE bc 20 12 'c'
0 18 TSKHIE ca 20 12 'c'
0 18 TSKHIE cb 20 12 'c'
0 18 TSKHIE cc 20 12 'c'
0 19 TSKHIE aa 20 12 'a'
0 19 TSKHIE ab 20 12 'b'
0 19 TSKHIE ac 20 12 'b'
0 19 TSKHIE ba 20 12 'c'
0 19 TSKHIE bb 20 12 'c'
0 19 TSKHIE bc 20 12 'c'
0 19 TSKHIE ca 20 12 'c'
0 19 TSKHIE cb 20 12 'c'
0 19 TSKHIE cc 20 12 'c'
0 20 TSKHIE aa 20 12 'a'
0 20 TSKHIE ab 20 12 'b'
0 20 TSKHIE ac 20 12 'b'
0 20 TSKHIE ba 20 12 'c'
0 20 TSKHIE bb 20 12 'c'
0 20 TSKHIE bc 20 12 'c'
0 20 TSKHIE ca 20 12 'c'
0 20 TSKHIE cb 20 12 'c'
0 20 TSKHIE cc 20 12 'c'
0 21 TSKHIE aa 20 12 'a'
0 21 TSKHIE ab 20 12 'b'
0 21 TSKHIE ac 20 12 'b'
0 21 TSKHIE ba 20 12 'c'
0 21 TSKHIE bb 20 12 'c'
0 21 TSKHIE bc 20 12 'c'
0 21 TSKHIE ca 20 12 'c'
0 21 TSKHIE cb 20 12 'c'
0 21 TSKHIE cc 20 12 'c'
0 22 TSKHIE aa 20 12 'a'
0 22 TSKHIE ab 20 12 'b'
0 22 TSKHIE ac 20 12 'b'
0 22 TSKHIE ba 20 12 'c'
0 22 TSKHIE bb 20 12 'c'
0 22 TSKHIE bc 20 12 'c'
0 22 TSKHIE ca 20 12 'c'
0 22 TSKHIE cb 20 12 'c'
0 22 TSKHIE cc 20 12 'c'
0 23 TSKHIE aa 20 12 'a'
0 23 TSKHIE ab 20 12 'b'
0 23 TSKHIE ac 20 12 'b'
0 23 TSKHIE ba 20 12 'c'
0 23 TSKHIE bb 20 12 'c'
0 23 TSKHIE bc 20 12 'c'
0 23 TSKHIE ca 20 12 'c'
0 23 TSKHIE cb 20 12 'c'
0 23 TSKHIE cc 20 12 'c'
0 24 TSKHIE aa 20 12 'a'
0 24 TSKHIE ab 20 12 'b'
0 24 TSKHIE ac 20 12 'b'
0 24 TSKHIE ba 20 12 'c'
0 24 TSKHIE bb 20 12 'c'
0 24 TSKHIE bc 20 12 'c'
0 24 TSKHIE ca 20 12 'c'
0 24 TSKHIE cb 20 12 'c'
0 24 TSKHIE cc 20 12 'c'
0 25 TSKHIE aa 20 12 'a'
0 25 TSKHIE ab 20 12 'b'
0 25 TSKHIE ac 20 12 'b'
0 25 TSKHIE ba 20 12 'c'
0 25 TSKHIE bb 20 12 'c'
0 25 TSKHIE bc 20 12 'c'
0 25 TSKHIE ca 20 12 'c'
0 25 TSKHIE cb 20 12 'c'
0 25 TSKHIE cc 20 12 'c'
0 26 TSKHIE aa 20 12 'a'
0 26 TSKHIE ab 20 12 'b'
0 26 TSKHIE ac 20 12 'b'
0 26 TSKHIE ba 20 12 'c'
0 26 TSKHIE bb 20 12 'c'
0 26 TSKHIE bc 20 12 'c'
0 26 TSKHIE ca 20 12 'c'
0 26 TSKHIE cb 20 12 'c'
0 26 TSKHIE cc 20 12 'c'
0 27 TSKHIE aa 20 12 'a'
0 27 TSKHIE ab 20 12 'b'
0 27 TSKHIE ac 20 12 'b'
0 27 TSKHIE ba 20 12 'c'
0 27 TSKHIE bb 20 12 'c'
0 27 TSKHIE bc 20 12 'c'
0 27 TSKHIE ca 20 12 'c'
0 27 TSKHIE cb 20 12 'c'
0 27 TSKHIE cc 20 12 'c'
0 28 TSKHIE aa 20 12 'a'
0 28 TSKHIE ab 20 12 'b'
0 28 TSKHIE ac 20 12 'b'
0 28 TSKHIE ba 20 12 'c'
0 28 TSKHIE bb 20 12 'c'
0 28 TSKHIE bc 20 12 'c'
0 28 TSKHIE ca 20 12 'c'
0 28 TSKHIE cb 20 12 'c'
0 28 TSKHIE cc 20 12 'c'
0 29 TSKHIE aa 20 12 'a'
0 29 TSKHIE ab 20 12 'b'
0 29 TSKHIE ac 20 12 'b'
0 29 TSKHIE ba 20 12 'c'
0 29 TSKHIE bb 20 12 'c'
0 29 TSKHIE bc 20 12 'c'
0 29 TSKHIE ca 20 12 'c'
0 29 TSKHIE cb 20 12 'c'
0 29 TSKHIE cc 20 12 'c'
0 30 TSKHIE aa 20 12 'a'
0 30 TSKHIE ab 20 12 'b'
0 30 TSKHIE ac 20 12 'b'
0 30 TSKHIE ba 20 12 'c'
0 30 TSKHIE bb 20 12 'c'
0 30 TSKHIE bc 20 12 'c'
0 30 TSKHIE ca 20 12 'c'
0 30 TSKHIE cb 20 12 'c'
0 30 TSKHIE cc 20 12 'c'
0 31 TSKHIE aa 20 12 'a'
0 31 TSKHIE ab 20 12 'b'
0 31 TSKHIE ac 20 12 'b'
0 31 TSKHIE ba 20 12 'c'
0 31 TSKHIE bb 20 12 'c'
0 31 TSKHIE bc 20 12 'c'
0 31 TSKHIE ca 20 12 'c'
0 31 TSKHIE cb 20 12 'c'
0 31 TSKHIE cc 20 12 'c'
0 32 TSKHIE aa 20 12 'a'
0 32 TSKHIE ab 20 12 'b'
0 32 TSKHIE ac 20 12 'b'
0 32 TSKHIE ba 20 12 'c'
0 32 TSKHIE bb 20 12 'c'
0 32 TSKHIE bc 20 12 'c'
0 32 TSKHIE ca 20 12 'c'
0 32 TSKHIE cb 20 12 'c'
0 32 TSKHIE cc 20 12 'c'
0 33 TSKHIE aa 20 12 'a'
0 33 TSKHIE ab 20 12 'b'
0 33 TSKHIE ac 20 12 'b'
0 33 TSKHIE ba 20 12 'c'
0 33 TSKHIE bb 20 12 'c'
0 33 TSKHIE bc 20 12 'c'
0 33 TSKHIE ca 20 12 'c'
0 33 TSKHIE cb 20 12 'c'
0 33 TSKHIE cc 20 12 'c'
0 34 TSKHIE aa 20 12 'a'
0 34 TSKHIE ab 20 12 'b'
0 34 TSKHIE ac 20 12 'b'
0 34 TSKHIE ba 20 12 'c'
0 34 TSKHIE bb 20 12 'c'
0 34 TSKHIE bc 20 12 'c'
0 34 TSKHIE ca 20 12 'c'
0 34 TSKHIE cb 20 12 'c'
0 34 TSKHIE cc 20 12 'c'
0 35 TSKHIE aa 20 12 'a'
0 35 TSKHIE ab 20 12 'b'
0 35 TSKHIE ac 20 12 'b'
0 35 TSKHIE ba 20 12 'c'
0 35 TSKHIE bb 20 12 'c'
0 35 TSKHIE bc 20 12 'c'
0 35 TSKHIE ca 20 12 'c'
0 35 TSKHIE cb 20 12 'c'
0 35 TSKHIE cc 20 12 'c'
0 36 TSKHIE aa 20 12 'a'
0 36 TSKHIE ab 20 12 'b'
0 36 TSKHIE ac 20 12 'b'
0 36 TSKHIE ba 20 12 'c'
0 36 TSKHIE bb 20 12 'c'
0 36 TSKHIE bc 20 12 'c'
0 36 TSKHIE ca 20 12 'c'
0 36 TSKHIE cb 20 12 'c'
0 36 TSKHIE cc 20 12 'c'
0 37 TSKHIE aa 20 12 'a'
0 37 TSKHIE ab 20 12 'b'
0 37 TSKHIE ac 20 12 'b'
0 37 TSKHIE ba 20 12 'c'
0 37 TSKHIE bb 20 12 'c'
0 37 TSKHIE bc 20 12 'c'
0 37 TSKHIE ca 20 12 'c'
0 37 TSKHIE cb 20 12 'c'
0 37 TSKHIE cc 20 12 'c'
0 38 TSKHIE aa 20 12 'a'
0 38 TSKHIE ab 20 12 'b'
0 38 TSKHIE ac 20 12 'b'
0 38 TSKHIE ba 20 12 'c'
0 38 TSKHIE bb 20 12 'c'
0 38 TSKHIE bc 20 12 'c'
0 38 TSKHIE ca 20 12 'c'
0 38 TSKHIE cb 20 12 'c'
0 38 TSKHIE cc 20 12 'c'
0 39 TSKHIE aa 20 12 'a'
0 39 TSKHIE ab 20 12 'b'
0 39 TSKHIE ac 20 12 'b'
0 39 TSKHIE ba 20 12 'c'
0 39 TSKHIE bb 20 12 'c'
0 39 TSKHIE bc 20 12 'c'
0 39 TSKHIE ca 20 12 'c'
0 39 TSKHIE cb 20 12 'c'
0 39 TSKHIE cc 20 12 'c'
0 40 TSKHIE aa 20 12 'a'
0 40 TSKHIE ab 20 12 'b'
0 40 TSKHIE ac 20 12 'b'
0 40 TSKHIE ba 20 12 'c'
0 40 TSKHIE bb 20 12 'c'
0 40 TSKHIE bc 20 12 'c'
0 40 TSKHIE ca 20 12 'c'
0 40 TSKHIE cb 20 12 'c'
0 40 TSKHIE cc 20 12 'c'
0 41 TSKHIE aa 20 12 'a'
0 41 TSKHIE ab 20 12 'b'
0 41 TSKHIE ac 20 12 'b'
0 41 TSKHIE ba 20 12 'c'
0 41 TSKHIE bb 20 12 'c'
0 41 TSKHIE bc 20 12 'c'
0 41 TSKHIE ca 20 12 'c'
0 41 TSKHIE cb 20 12 'c'
0 41 TSKHIE cc 20 12 'c'
0 42 TSKHIE aa 20 12 'a'
0 42 TSKHIE ab 20 12 'b'
0 42 TSKHIE ac 20 12 'b'
0 42 TSKHIE ba 20 12 'c'
0 42 TSKHIE bb 20 12 'c'
0 42 TSKHIE bc 20 12 'c'
0 42 TSKHIE ca 20 12 'c'
0 42 TSKHIE cb 20 12 'c'
0 42 TSKHIE cc 20 12 'c'
0 43 TSKHIE aa 20 12 'a'
0 43 TSKHIE ab 20 12 'b'
0 43 TSKHIE ac 20 12 'b'
0 43 TSKHIE ba 20 12 'c'
0 43 TSKHIE bb 20 12 'c'
0 43 TSKHIE bc 20 12 'c'
0 43 TSKHIE ca 20 12 'c'
0 43 TSKHIE cb 20 12 'c'
0 43 TSKHIE cc 20 12 'c'
0 44 TSKHIE aa 20 12 'a'
0 44 TSKHIE ab 20 12 'b'
0 44 TSKHIE ac 20 12 'b'
0 44 TSKHIE ba 20 12 'c'
0 44 TSKHIE bb 20 12 'c'
0 44 TSKHIE bc 20 12 'c'
0 44 TSKHIE ca 20 12 'c'
0 44 TSKHIE cb 20 12 'c'
0 44 TSKHIE cc 20 12 'c'
0 45 TSKHIE aa 20 12 'a'
0 45 TSKHIE ab 20 12 'b'
0 45 TSKHIE ac 20 12 'b'
0 45 TSKHIE ba 20 12 'c'
0 45 TSKHIE bb 20 12 'c'
0 45 TSKHIE bc 20 12 'c'
0 45 TSKHIE ca 20 12 'c'
0 45 TSKHIE cb 20 12 'c'
0 45 TSKHIE cc 20 12 'c'
0 46 TSKHIE aa 20 12 'a'
0 46 TSKHIE ab 20 12 'b'
0 46 TSKHIE ac 20 12 'b'
0 46 TSKHIE ba 20 12 'c'
0 46 TSKHIE bb 20 12 'c'
0 46 TSKHIE bc 20 12 'c'
0 46 TSKHIE ca 20 12 'c'
0 46 TSKHIE cb 20 12 'c'
0 46 TSKHIE cc 20 12 'c'
0 47 TSKHIE aa 20 12 'a'
0 47 TSKHIE ab 20 12 'b'
0 47 TSKHIE ac 20 12 'b'
0 47 TSKHIE ba 20 12 'c'
0 47 TSKHIE bb 20 12 'c'
0 47 TSKHIE bc 20 12 'c'
0 47 TSKHIE ca 20 12 'c'
0 47 TSKHIE cb 20 12 'c'
0 47 TSKHIE cc 20 12 'c'
0 48 TSKHIE aa 20 12 'a'
0 48 TSKHIE ab 20 12 'b'
0 48 TSKHIE ac 20 12 'b'
0 48 TSKHIE ba 20 12 'c'
0 48 TSKHIE bb 20 12 'c'
0 48 TSKHIE bc 20 12 'c'
0 48 TSKHIE ca 20 12 'c'
0 48 TSKHIE cb 20 12 'c'
0 48 TSKHIE cc 20 12 'c'
0 49 TSKHIE aa 20 12 'a'
0 49 TSKHIE ab 20 12 'b'
0 49 TSKHIE ac 20 12 'b'
0 49 TSKHIE ba 20 12 'c'
0 49 TSKHIE bb 20 12 'c'
0 49 TSKHIE bc 20 12 'c'
0 49 TSKHIE ca 20 12 'c'
0 49 TSKHIE cb 20 12 'c'
0 49 TSKHIE cc 20 12 'c'
0 50 TSKHIE aa 20 12 'a'
0 50 TSKHIE ab 20 12 'b'
0 50 TSKHIE ac 20 12 'b'
0 50 TSKHIE ba 20 12 'c'
0 50 TSKHIE bb 20 12 'c'
0 50 TSKHIE bc 20 12 'c'
0 50 TSKHIE ca 20 12 'c'
0 50 TSKHIE cb 20 12 'c'
0 50 TSKHIE cc 20 12 'c'
0 51 TSKHIE aa 20 12 'a'
0 51 TSKHIE ab 20 12 'b'
0 51 TSKHIE ac 20 12 'b'
0 51 TSKHIE ba 20 12 'c'
0 51 TSKHIE bb 20 12 'c'
0 51 TSKHIE bc 20 12 'c'
0 51 TSKHIE ca 20 12 'c'
0 51 TSKHIE cb 20 12 'c'
0 51 TSKHIE cc 20 12 'c'
0 52 TSKHIE aa 20 12 'a'
0 52 TSKHIE ab 20 12 'b'
0 52 TSKHIE ac 20 12 'b'
0 52 TSKHIE ba 20 12 'c'
0 52 TSKHIE bb 20 12 'c'
0 52 TSKHIE bc 20 12 'c'
0 52 TSKHIE ca 20 12 'c'
0 52 TSKHIE cb 20 12 'c'
0 52 TSKHIE cc 20 12 'c'
0 53 TSKHIE aa 20 12 'a'
0 53 TSKHIE ab 20 12 'b'
0 53 TSKHIE ac 20 12 'b'
0 53 TSKHIE ba 20 12 'c'
0 53 TSKHIE bb 20 12 'c'
0 53 TSKHIE bc 20 12 'c'
0 53 TSKHIE ca 20 12 'c'
0 53 TSKHIE cb 20 12 'c'
0 53 TSKHIE cc 20 12 'c'
0 54 TSKHIE aa 20 12 'a'
0 54 TSKHIE ab 20 12 'b'
0 54 TSKHIE ac 20 12 'b'
0 54 TSKHIE ba 20 12 'c'
0 54 TSKHIE bb 20 12 'c'
0 54 TSKHIE bc 20 12 'c'
0 54 TSKHIE ca 20 12 'c'
0 54 TSKHIE cb 20 12 'c'
0 54 TSKHIE cc 20 12 'c'
0 55 TSKHIE aa 20 12 'a'
0 55 TSKHIE ab 20 12 'b'
0 55 TSKHIE ac 20 12 'b'
0 55 TSKHIE ba 20 12 'c'
0 55 TSKHIE bb 20 12 'c'
0 55 TSKHIE bc 20 12 'c'
0 55 TSKHIE ca 20 12 'c'
0 55 TSKHIE cb 20 12 'c'
0 55 TSKHIE cc 20 12 'c'
0 56 TSKHIE aa 20 12 'a'
0 56 TSKHIE ab 20 12 'b'
0 56 TSKHIE ac 20 12 'b'
0 56 TSKHIE ba 20 12 'c'
0 56 TSKHIE bb 20 12 'c'
0 56 TSKHIE bc 20 12 'c'
0 56 TSKHIE ca 20 12 'c'
0 56 TSKHIE cb 20 12 'c'
0 56 TSKHIE cc 20 12 'c'
0 57 TSKHIE aa 20 12 'a'
0 57 TSKHIE ab 20 12 'b'
0 57 TSKHIE ac 20 12 'b'
0 57 TSKHIE ba 20 12 'c'
0 57 TSKHIE bb 20 12 'c'
0 57 TSKHIE bc 20 12 'c'
0 57 TSKHIE ca 20 12 'c'
0 57 TSKHIE cb 20 12 'c'
0 57 TSKHIE cc 20 12 'c'
0 58 TSKHIE aa 20 12 'a'
0 58 TSKHIE ab 20 12 'b'
0 58 TSKHIE ac 20 12 'b'
0 58 TSKHIE ba 20 12 'c'
0 58 TSKHIE bb 20 12 'c'
0 58 TSKHIE bc 20 12 'c'
0 58 TSKHIE ca 20 12 'c'
0 58 TSKHIE cb 20 12 'c'
0 58 TSKHIE cc 20 12 'c'
0 59 TSKHIE aa 20 12 'a'
0 59 TSKHIE ab 20 12 'b'
0 59 TSKHIE ac 20 12 'b'
0 59 TSKHIE ba 20 12 'c'
0 59 TSKHIE bb 20 12 'c'
0 59 TSKHIE bc 20 12 'c'
0 59 TSKHIE ca 20 12 'c'
0 59 TSKHIE cb 20 12 'c'
0 59 TSKHIE cc 20 12 'c'
0 60 TSKHIE aa 20 12 'a'
0 60 TSKHIE ab 20 12 'b'
0 60 TSKHIE ac 20 12 'b'
0 60 TSKHIE ba 20 12 'c'
0 60 TSKHIE bb 20 12 'c'
0 60 TSKHIE bc 20 12 'c'
0 60 TSKHIE ca 20 12 'c'
0 60 TSKHIE cb 20 12 'c'
0 60 TSKHIE cc 20 12 'c'
0 61 TSKHIE aa 20 12 'a'
0 61 TSKHIE ab 20 12 'b'
0 61 TSKHIE ac 20 12 'b'
0 61 TSKHIE ba 20 12 'c'
0 61 TSKHIE bb 20 12 'c'
0 61 TSKHIE bc 20 12 'c'
0 61 TSKHIE ca 20 12 'c'
0 61 TSKHIE cb 20 12 'c'
0 61 TSKHIE cc 20 12 'c'
0 62 TSKHIE aa 20 12 'a'
0 62 TSKHIE ab 20 12 'b'
0 62 TSKHIE ac 20 12 'b'
0 62 TSKHIE ba 20 12 'c'
0 62 TSKHIE bb 20 12 'c'
0 62 TSKHIE bc 20 12 'c'
0 62 TSKHIE ca 20 12 'c'
0 62 TSKHIE cb 20 12 'c'
0 62 TSKHIE cc 20 12 'c'
0 63 TSKHIE aa 20 12 'a'
0 63 TSKHIE ab 20 12 'b'
0 63 TSKHIE ac 20 12 'b'
0 63 TSKHIE ba 20 12 'c'
0 63 TSKHIE bb 20 12 'c'
0 63 TSKHIE bc 20 12 'c'
0 63 TSKHIE ca 20 12 'c'
0 63 TSKHIE cb 20 12 'c'
0 63 TSKHIE cc 20 12 'c'
0 64 TSKHIE aa 20 12 'a'
0 64 TSKHIE ab 20 12 'b'
0 64 TSKHIE ac 20 12 'b'
0 64 TSKHIE ba 20 12 'c'
0 64 TSKHIE bb 20 12 'c'
0 64 TSKHIE bc 20 12 'c'
0 64 TSKHIE ca 20 12 'c'
0 64 TSKHIE cb 20 12 'c'
0 64 TSKHIE cc 20 12 'c'
0 65 TSKHIE aa 20 12 'a'
0 65 TSKHIE ab 20 12 'b'
0 65 TSKHIE ac 20 12 'b'
0 65 TSKHIE ba 20 12 'c'
0 65 TSKHIE bb 20 12 'c'
0 65 TSKHIE bc 20 12 'c'
0 65 TSKHIE ca 20 12 'c'
0 65 TSKHIE cb 20 12 'c'
0 65 TSKHIE cc 20 12 'c'
0 66 TSKHIE aa 20 12 'a'
0 66 TSKHIE ab 20 12 'b'
0 66 TSKHIE ac 20 12 'b'
0 66 TSKHIE ba 20 12 'c'
0 66 TSKHIE bb 20 12 'c'
0 66 TSKHIE bc 20 12 'c'
0 66 TSKHIE ca 20 12 'c'
0 66 TSKHIE cb 20 12 'c'
0 66 TSKHIE cc 20 12 'c'
0 67 TSKHIE aa 20 12 'a'
0 67 TSKHIE ab 20 12 'b'
0 67 TSKHIE ac 20 12 'b'
0 67 TSKHIE ba 20 12 'c'
0 67 TSKHIE bb 20 12 'c'
0 67 TSKHIE bc 20 12 'c'
0 67 TSKHIE ca 20 12 'c'
0 67 TSKHIE cb 20 12 'c'
0 67 TSKHIE cc 20 12 'c'
0 68 TSKHIE aa 20 12 'a'
0 68 TSKHIE ab 20 12 'b'
0 68 TSKHIE ac 20 12 'b'
0 68 TSKHIE ba 20 12 'c'
0 68 TSKHIE bb 20 12 'c'
0 68 TSKHIE bc 20 12 'c'
0 68 TSKHIE ca 20 12 'c'
0 68 TSKHIE cb 20 12 'c'
0 68 TSKHIE cc 20 12 'c'
0 69 TSKHIE aa 20 12 'a'
0 69 TSKHIE ab 20 12 'b'
0 69 TSKHIE ac 20 12 'b'
0 69 TSKHIE ba 20 12 'c'
0 69 TSKHIE bb 20 12 'c'
0 69 TSKHIE bc 20 12 'c'
0 69 TSKHIE ca 20 12 'c'
0 69 TSKHIE cb 20 12 'c'
0 69 TSKHIE cc 20 12 'c'
0 70 TSKHIE aa 20 12 'a'
0 70 TSKHIE ab 20 12 'b'
0 70 TSKHIE ac 20 12 'b'
0 70 TSKHIE ba 20 12 'c'
0 70 TSKHIE bb 20 12 'c'
0 70 TSKHIE bc 20 12 'c'
0 70 TSKHIE ca 20 12 'c'
0 70 TSKHIE cb 20 12 'c'
0 70 TSKHIE cc 20 12 'c'
0 71 TSKHIE aa 20 12 'a'
0 71 TSKHIE ab 20 12 'b'
0 71 TSKHIE ac 20 12 'b'
0 71 TSKHIE ba 20 12 'c'
0 71 TSKHIE bb 20 12 'c'
0 71 TSKHIE bc 20 12 'c'
0 71 TSKHIE ca 20 12 'c'
0 71 TSKHIE cb 20 12 'c'
0 71 TSKHIE cc 20 12 'c'
0 72 TSKHIE aa 20 12 'a'
0 72 TSKHIE ab 20 12 'b'
0 72 TSKHIE ac 20 12 'b'
0 72 TSKHIE ba 20 12 'c'
0 72 TSKHIE bb 20 12 'c'
0 72 TSKHIE bc 20 12 'c'
0 72 TSKHIE ca 20 12 'c'
0 72 TSKHIE cb 20 12 'c'
0 72 TSKHIE cc 20 12 'c'
0 73 TSKHIE aa 20 12 'a'
0 73 TSKHIE ab 20 12 'b'
0 73 TSKHIE ac 20 12 'b'
0 73 TSKHIE ba 20 12 'c'
0 73 TSKHIE bb 20 12 'c'
